"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000170085",497.101406936287,0.0233289880441345,0.161115654031555,0.144796532555213,0.884871519994406,0.935687417478878
"ENSG00000131668",5.38348301534099,-0.179749574638821,1.24196666198857,-0.144729790372163,0.884924217474759,0.935687417478878
"ENSG00000166348",5877.57269403044,-0.0162326689636767,0.112067365270234,-0.144847422124487,0.884831339570022,0.935687417478878
"ENSG00000104043",18.4959703355216,-0.0932931459491525,0.645172906290218,-0.144601772702443,0.885025297532281,0.935722438894416
"ENSG00000108349",3408.45536317319,0.0153611559524361,0.106387005923211,0.144389399994241,0.88519298667877,0.935827874199938
"ENSG00000159307",28.4393541119829,-0.0755745160511448,0.523811500206322,-0.14427807717352,0.885280889052393,0.935848949048936
"ENSG00000172183",324.308879480304,-0.0316192680999362,0.219291024187409,-0.144188610624181,0.885351534369453,0.935851779267081
"ENSG00000109163",5.97851060164186,-0.160176372381482,1.11182742771108,-0.144065858054282,0.885448464752414,0.935882391277807
"ENSG00000113211",6.17405210034058,0.163659565134442,1.13797719679857,0.143816207912478,0.885645603865887,0.936018906941157
"ENSG00000006837",31.6529048215302,-0.0726818699523088,0.507734416932776,-0.143149385837147,0.886172202276795,0.936360739889621
"ENSG00000214827",25.2911163611336,-0.0794112040982632,0.554365090987206,-0.143247122499811,0.886095015163012,0.936360739889621
"ENSG00000160959",305.218181771129,-0.0276500575992052,0.193156723124217,-0.143148305438086,0.886173055523397,0.936360739889621
"ENSG00000166477",4346.86507524066,0.015728351422742,0.110069474404644,0.14289476267435,0.886373294906668,0.936500452545266
"ENSG00000173621",75.0140240025043,-0.0581205978531688,0.408356782896923,-0.142327984467053,0.886820943122177,0.9368296429223
"ENSG00000103269",37.2666374660824,0.0697598579827636,0.490034745174427,0.142356962786246,0.886798054821472,0.9368296429223
"ENSG00000156535",19.2326218975135,0.09653537226558,0.678809767747189,0.142212703547208,0.886911997797362,0.936853954558641
"ENSG00000114784",644.635058874548,0.0212551708550603,0.149752565446709,0.141935270301758,0.88713113466098,0.936941673172282
"ENSG00000168936",629.211908965957,-0.0603162302516071,0.424809318519202,-0.141984244747401,0.88709245047036,0.936941673172282
"ENSG00000164008",108.588653850129,-0.0399383104416843,0.281792801480093,-0.141729349479162,0.887293791415847,0.937020304510577
"ENSG00000115085",7.9012432300241,0.138397998065772,0.978576245778121,0.1414279149559,0.887531902954034,0.937020304510577
"ENSG00000105968",2594.90624181839,0.0155263070070291,0.109709402309814,0.141522118251849,0.887457488051352,0.937020304510577
"ENSG00000008282",3107.07850883722,-0.0211701673929761,0.149707436665562,-0.141410258999151,0.887545850201682,0.937020304510577
"ENSG00000180089",16.5710560363996,-0.10216388022668,0.721971287232332,-0.141506846648049,0.887469551626766,0.937020304510577
"ENSG00000078399",17.9361321630773,0.0939851224393076,0.666327984331756,0.141049340038694,0.887830964218923,0.937033921993742
"ENSG00000156374",177.270557265286,-0.0360824757024268,0.255676713111465,-0.141125389415876,0.887770886523157,0.937033921993742
"ENSG00000103145",278.777199568319,0.0301746611790585,0.213752186908981,0.141166561219359,0.887738361777818,0.937033921993742
"ENSG00000103326",474.331762672071,-0.0248350065338639,0.175809090971986,-0.141261219181329,0.887663584956626,0.937033921993742
"ENSG00000118242",123.770272558346,-0.0378353887448758,0.268730216532954,-0.140793206037685,0.888033310398537,0.937103820576139
"ENSG00000181544",128.355424109308,-0.0386091414478068,0.274068122386514,-0.140874250940271,0.887969284034825,0.937103820576139
"ENSG00000163930",1199.47600581683,-0.0183450075204425,0.130645525000555,-0.140418185164509,0.888329590515234,0.937344634209844
"ENSG00000121053",5.40199593351556,-0.164800339743347,1.17539477639433,-0.140208501052635,0.888495255386093,0.937447599341848
"ENSG00000249471",108.26098618706,0.0400327773804151,0.285839755678672,0.140053217178852,0.888617943466545,0.937505207538951
"ENSG00000101846",538.20002021501,0.022643765315101,0.161994396159135,0.139781164361123,0.888832895835635,0.937588304815817
"ENSG00000127528",18.0442502068838,0.0931657664537467,0.666127934921303,0.139861671564267,0.888769285224822,0.937588304815817
"ENSG00000182504",646.746229111934,0.025116508373604,0.180074808562311,0.139478190059622,0.889072289279872,0.937697154430836
"ENSG00000186812",1509.21314990171,0.0179588497368583,0.128752724410266,0.139483260017342,0.88906828319794,0.937697154430836
"ENSG00000149428",5999.26899010764,-0.0142194358618322,0.102032647700557,-0.139361627697471,0.889164393072192,0.937722466927927
"ENSG00000150961",1435.16014066763,0.0180111561035169,0.129808253508241,0.138752010112927,0.889646117431936,0.938096429254871
"ENSG00000174010",329.17711358962,0.0258536231298626,0.186345244705713,0.138740450128964,0.889655252611672,0.938096429254871
"ENSG00000165269",8.69307003485743,-0.130751548514384,0.943553497911527,-0.138573540137142,0.889787153456011,0.938163666125723
"ENSG00000226479",988.150924989603,0.0181079688437916,0.131108187000189,0.138114707083589,0.890149762600285,0.938474125669474
"ENSG00000103037",706.301435672602,0.0194078779636515,0.140920948913526,0.137721737706726,0.890460338902304,0.938729684277301
"ENSG00000134996",1532.14207899991,-0.0162877887433763,0.118418834535178,-0.137543903445002,0.890600892550282,0.938805978374279
"ENSG00000165275",169.557552473,-0.0328992959352772,0.240448908692686,-0.136824475994296,0.891169536541346,0.939333487609109
"ENSG00000196652",453.111588080396,0.0223444169188148,0.163723332068414,0.136476680730379,0.891444458133258,0.939551342929947
"ENSG00000114541",117.794820199271,0.0386752079513215,0.283742244877695,0.136304017641054,0.891580947910203,0.939623273767745
"ENSG00000130997",20.3957070777202,-0.0839638674317204,0.617493630175235,-0.135975277037097,0.891840825482181,0.939825220118181
"ENSG00000040275",1078.68233949921,0.019914310549272,0.146729695842333,0.135721064743913,0.892041794549004,0.939965062305444
"ENSG00000183305",10.1856380176767,0.118403919653803,0.875077913157609,0.135306717120259,0.892369374426202,0.940238285619404
"ENSG00000100949",470.149286736305,-0.0247592739062658,0.183408655260552,-0.1349951226189,0.89261573061858,0.94042589294416
"ENSG00000172404",6.56749420482716,0.144339550924043,1.07109753801113,0.134758549806827,0.892802779278896,0.940550992187538
"ENSG00000186001",897.221537556127,0.0181168168473414,0.134739946544544,0.134457652032333,0.893040695728673,0.94065769120931
